group,category,code,long description,short description
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9610,Documentation of medical reason(s) in the patient's record for not ordering anti-platelet agents,Doc md rsn no antipla
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9611,"Order for anti-platelet agents was not documented in the patient's record, reason not given",No doc order anti-plat rng
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9612,Photodocumentation of two or more cecal landmarks to establish a complete examination,"HCPCS G9612 terminated on December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9613,"Documentation of post-surgical anatomy (e.g., right hemicolectomy, ileocecal resection, etc.)","HCPCS G9613 terminated on December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9614,"Photodocumentation of less than two cecal landmarks (i.e., no cecal landmarks or only one cecal landmark) to establish a complete examination","HCPCS G9614 terminated on December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9615,Preoperative assessment documented,"HCPCS G9615 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9616,"Documentation of reason(s) for not documenting a preoperative assessment (e.g., patient with a gynecologic or other pelvic malignancy noted at the time of surgery)","HCPCS G9616 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9617,"Preoperative assessment not documented, reason not given","HCPCS G9617 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9618,Documentation of screening for uterine malignancy or those that had an ultrasound and/or endometrial sampling of any kind,"HCPCS G9618 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9619,"Documentation of reason(s) for not screening for uterine malignancy (e.g., prior hysterectomy)","HCPCS G9619 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9620,"Patient not screened for uterine malignancy, or those that have not had an ultrasound and/or endometrial sampling of any kind, reason not given","HCPCS G9620 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9621,Patient identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method and received brief counseling,Scr unheal etoh w/counsel
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9622,Patient not identified as an unhealthy alcohol user when screened for unhealthy alcohol use using a systematic screening method,No unheal etoh user
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9623,"Documentation of medical reason(s) for not screening for unhealthy alcohol use (e.g., limited life expectancy, other medical reasons)","HCPCS G9623 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9624,Patient not screened for unhealthy alcohol use using a systematic screening method or patient did not receive brief counseling if identified as an unhealthy alcohol user,Pt not scrn or no counseling
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9625,Patient sustained bladder injury at the time of surgery or discovered subsequently up to 30 days post-surgery,Pt bl srg 30 day pst srg
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9626,"Documented medical reason for not reporting bladder injury (e.g., gynecologic or other pelvic malignancy documented, concurrent surgery involving bladder pathology, injury that occurs during a urinary incontinence procedure, patient death from non-medical causes not related to surgery, patient died during procedure without evidence of bladder injury)",Med rsn no rpt bladder inj
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9627,Patient did not sustain bladder injury at the time of surgery nor discovered  subsequently up to 30 days post-surgery,Pt no bl srg 30 day pst srg
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9628,Patient sustained bowel injury at the time of surgery or discovered subsequently up to 30 days  post-surgery,Pt bwli srg 30 day pst srg
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9629,"Documented medical reasons for not reporting bowel injury (e.g., gynecologic or other pelvic malignancy documented, planned (e.g., not due to an unexpected bowel injury) resection and/or re-anastomosis of bowel, or patient death from non-medical causes not related to surgery, patient died during procedure without evidence of bowel injury)",Med rsn no rpt bowel inj
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9630,Patient did not sustain a bowel injury at the time of surgery nor discovered subsequently up to 30 days post-surgery,Pt no bwli srg 30 day srg
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9631,Patient sustained ureter injury at the time of surgery or discovered subsequently up to 30 days post-surgery,"HCPCS G9631 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9632,"Documented medical reasons for not reporting ureter injury (e.g., gynecologic or other pelvic malignancy documented, concurrent surgery involving bladder pathology, injury that occurs during a urinary incontinence procedure, patient death from non-medical causes not related to surgery, patient died during procedure without evidence of ureter injury)","HCPCS G9632 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9633,Patient did not sustain ureter injury at the time of surgery nor discovered subsequently up to 30 days post-surgery,"HCPCS G9633 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9634,Health-related quality of life assessed with tool during at least two visits and quality of life score remained the same or improved,"HCPCS G9634 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9635,"Health-related quality of life not assessed with tool for documented reason(s) (e.g., patient has a cognitive or neuropsychiatric impairment that impairs his/her ability to complete the hrqol survey, patient has the inability to read and/or write in order to complete the hrqol questionnaire)","HCPCS G9635 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9636,Health-related quality of life not assessed with tool during at least two visits or quality of life score declined,"HCPCS G9636 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9637,"Final reports with documentation of one or more dose reduction techniques (e.g., automated exposure control, adjustment of the ma and/or kv according to patient size, use of iterative reconstruction technique)",Doc >1 dose reduc tech
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9638,"Final reports without documentation of one or more dose reduction techniques (e.g., automated exposure control, adjustment of the ma and/or kv according to patient size, use of iterative reconstruction technique)",No doc >1 dose reduc tech
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9639,Major amputation or open surgical bypass not required within 48 hours of the index endovascular lower extremity revascularization procedure,"HCPCS G9639 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9640,Documentation of planned hybrid or staged procedure,"HCPCS G9640 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9641,Major amputation or open surgical bypass required within 48 hours of the index endovascular lower extremity revascularization procedure,"HCPCS G9641 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9642,"Current smoker (e.g., cigarette, cigar, pipe, e-cigarette or marijuana)",Current smoker
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9643,Elective surgery,Elective surgery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9644,Patients who abstained from smoking prior to anesthesia on the day of surgery or procedure,No smok b/4 anes day of surg
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9645,Patients who did not abstain from smoking prior to anesthesia on the day of surgery or procedure,Had smoke b/4 anes day surg
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9646,Patients with 90 day mrs score of 0 to 2,Pt w/90d mrs 0-2
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9647,Patients in whom mrs score could not be obtained at 90 day follow-up,"HCPCS G9647 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9648,Patients with 90 day mrs score greater than 2,Pt w/90d mrs >2
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9649,"Psoriasis assessment tool documented meeting any one of the specified benchmarks (e.g., (pga; 5-point or 6-point scale), body surface area (bsa), psoriasis area and severity index (pasi) and/or dermatology life quality index) (dlqi))",Psor as doc spc bm
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9650,"Documentation that the patient declined therapy change or has documented contraindications (e.g., experienced adverse effects or lack of efficacy with all other therapy options) in order to achieve better disease control as measured by pga, bsa, pasi, or dlqi","HCPCS G9650 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9651,"Psoriasis assessment tool documented not meeting any one of the specified benchmarks (e.g., (pga; 5-point or 6-point scale), body surface area (bsa), psoriasis area and severity index (pasi) and/or dermatology life quality index) (dlqi)) or psoriasis assessment tool not documented",Psor as doc no spc bm
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9652,Patient has been treated with a systemic or biologic medication for psoriasis for at least six months,"HCPCS G9652 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9653,Patient has not been treated with a systemic or biologic medication for psoriasis for at least six months,"HCPCS G9653 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9654,Monitored anesthesia care (mac),Mon anesth care
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9655,A transfer of care protocol or handoff tool/checklist that includes the required key handoff elements is used,Toc tool incl key elem
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9656,Patient transferred directly from anesthetizing location to pacu or other non-icu location,Pt trans from anest to pacu
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9657,Transfer of care during an anesthetic or to the intensive care unit,"HCPCS G9657 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9658,A transfer of care protocol or handoff tool/checklist that includes the required key handoff elements is not used,Toc tool incl elem not used
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9659,"Patients greater than or equal to 86 years of age who underwent a screening colonoscopy and did not have a history of colorectal cancer or other valid medical reason for the colonoscopy, including: iron deficiency anemia, lower gastrointestinal bleeding, crohn's disease (i.e., regional enteritis), familial adenomatous polyposis, lynch syndrome (i.e., hereditary non-polyposis colorectal cancer), inflammatory bowel disease, ulcerative colitis, abnormal finding of gastrointestinal tract, or changes in bowel habits",>=86y no hx colo ca/rsn scop
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9660,"Documentation of medical reason(s) for a colonoscopy performed on a patient greater than or equal to 86 years of age (e.g., iron deficiency anemia, lower gastrointestinal bleeding, crohn's disease (i.e., regional enteritis), familial history of adenomatous polyposis, lynch syndrome (i.e., hereditary non-polyposis colorectal cancer), inflammatory bowel disease, ulcerative colitis, abnormal finding of gastrointestinal tract, or changes in bowel habits)",Doc med rsn scope pt >= 86y
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9661,"Patients greater than or equal to 86 years of age who received a  colonoscopy for an assessment of signs/symptoms of gi tract illness, and/or because the patient meets high risk criteria, and/or to follow-up on previously diagnosed advanced lesions",Pt >= 86  w/ hi risk
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9662,"Previously diagnosed or have a diagnosis of clinical ascvd, including ascvd procedure",Prior dx/active clin ascvd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9663,Any ldl-c laboratory result >= 190 mg/dl,Fast/dir ldl >= 190 mg/dl
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9664,Patients who are currently statin therapy users or received an order (prescription) for statin therapy,Taking statin or rec'd order
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9665,Patients who are not currently statin therapy users or did not receive an order (prescription) for statin therapy,No statin/no order statin
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9666,Patient's highest fasting or direct ldl-c laboratory test result in the measurement period or two years prior to the beginning of the measurement period is 70-189 mg/dl,"HCPCS G9666 terminated on December 31, 2021."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9667,"Documentation of medical reason(s) for not currently being a statin   therapy user or receive an order (prescription) for statin therapy (e.g., patient with adverse effect, allergy or intolerance to statin medication therapy, patients who have an active diagnosis of pregnancy or who are breastfeeding, patients who are receiving palliative care, patients with active liver disease or hepatic disease or insufficiency, patients with end stage renal disease (esrd), and patients with diabetes who have a fasting or direct ldl-c laboratory test result < 70 mg/dl and are not taking statin therapy)","HCPCS G9667 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9669,I intend to report the multiple chronic conditions measures group,"HCPCS G9669 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9670,All quality actions for the applicable measures in the multiple chronic conditions measures group have been performed for this patient,"HCPCS G9670 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9671,I intend to report the diabetic retinopathy measures group,"HCPCS G9671 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9672,All quality actions for the applicable measures in the diabetic retinopathy measures group have been performed for this patient,"HCPCS G9672 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9673,I intend to report the cardiovascular prevention measures group,"HCPCS G9673 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9674,Patients with clinical ascvd diagnosis,Pt w/clin ascvd dx
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9675,Patients who have ever had a fasting or direct laboratory result of ldl-c = 190 mg/dl,Pt w/fast/dir lab ldl-c >190
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9676,Patients aged 40 to 75 years at the beginning of the measurement period with type 1 or type 2 diabetes and with an ldl-c result of 70-189 mg/dl recorded as the highest fasting or direct laboratory test result in the measurement year or during the two years prior to the beginning of the measurement period,40-75y w/type 1/2 w/ldl-c rs
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9677,All quality actions for the applicable measures in the cardiovascular prevention measures group have been performed for this patient,"HCPCS G9677 terminated on December 31, 2016."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9678,Oncology care model (ocm) monthly enhanced oncology services (meos) payment for  ocm enhanced services.  g9678 payments may only be made to ocm practitioners for ocm beneficiaries for the furnishment of enhanced services as defined in the ocm participation agreement,"HCPCS G9678 terminated on June 30, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9679,This code is for onsite acute care treatment of a nursing facility resident with pneumonia; may only be billed once per day per beneficiary,Acute care pneumonia
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9680,This code is for onsite acute care treatment of a nursing facility resident with chf; may only be billed once per day per beneficiary,Acute care congestive heart
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9681,This code is for onsite acute care treatment of a resident with copd or asthma; may only be billed once per day per beneficiary,Acute care chronic obstruct
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9682,This code is for the onsite acute care treatment a nursing facility resident with a skin infection; may only be billed once per day per beneficiary,Acute care skin infection
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9683,Facility service(s) for the onsite acute care treatment of a nursing facility resident with fluid or electrolyte disorder. (may only be billed once per day per beneficiary). this service is for a demonstration project,Acute fluid/electro disorder
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9684,This code is for the onsite acute care treatment of a nursing facility resident for a uti; may only be billed once per day per beneficiary,Acute care urinary tract inf
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9685,Physician service or other qualified health care professional for the evaluation and management of a beneficiary's acute change in condition in a nursing facility. this service is for a demonstration project,Acute nursing facility care
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9686,"Onsite nursing facility conference, that is separate and distinct from an evaluation and management visit, including qualified practitioner and at least one member of the nursing facility interdisciplinary care team","HCPCS G9686 terminated on December 31, 2018."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9687,Hospice services provided to patient any time during the measurement period,Hospice anytime msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9688,Patients using hospice services any time during the measurement period,Pt w/hosp anytime msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9689,Patient admitted for performance of elective carotid intervention,Inpt elect carotid intervent
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9690,Patient receiving hospice services any time during the measurement period,Pt in hos
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9691,Patient had hospice services any time during the measurement period,Pt hosp dur msmt period
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9692,Hospice services received by patient any time during the measurement period,Hosp recd by pt dur msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9693,Patient use of hospice services any time during the measurement period,Pt use hosp during msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9694,Hospice services utilized by patient any time during the measurement period,Hosp srv used pt in msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9695,Long-acting inhaled bronchodilator prescribed,Long act inhal bronchdil pre
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9696,"Documentation of medical reason(s) for not prescribing a long-acting inhaled bronchodilator (e.g., patient intolerance or history of side effects)",Med rsn no presc bronchdil
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9697,Documentation of patient reason(s) for not prescribing a long-acting inhaled bronchodilator,"HCPCS G9697 terminated on December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9698,"Documentation of system reason(s) for not prescribing a long-acting inhaled bronchodilator (e.g., cost of treatment or lack of insurance)",Sys rsn no presc bronchdil
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9699,"Long-acting inhaled bronchodilator not prescribed, reason not otherwise specified",Long inhal bronchdil no pres
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9700,Patients who use hospice services any time during the measurement period,Pt is w/hosp during msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9701,Children who are taking antibiotics in the 30 days prior to the date of the encounter during which the diagnosis was established,"HCPCS G9701 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9702,Patients who use hospice services any time during the measurement period,Pt use hosp during msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9703,Episodes where the patient is taking antibiotics (table 1) in the 30 days prior to the episode date,Anbx 30 prior to episode
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9704,Ajcc breast cancer stage i: t1 mic or t1a documented,Ajcc br ca stg i: t1 mic/t1a
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9705,Ajcc breast cancer stage i: t1b (tumor > 0.5 cm but <= 1 cm in greatest dimension) documented,Ajcc br ca stg ib
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9706,"Low (or very low) risk of recurrence, prostate cancer",Low recur prost ca
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9707,Patient received hospice services any time during the measurement period,Pt had hosp dur msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9708,Women who had a bilateral mastectomy or who have a history of a bilateral mastectomy or for whom there is evidence of a right and a left unilateral mastectomy,Bilat mast/hx bi /unilat mas
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9709,Hospice services used by patient any time during the measurement period,Hosp srv used pt in msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9710,Patient was provided hospice services any time during the measurement period,Pt prov hosp srv msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9711,Patients with a diagnosis or past history of total colectomy or colorectal cancer,Pt hx tot col or colon ca
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9712,"Documentation of medical reason(s) for prescribing or dispensing antibiotic (e.g., intestinal   infection, pertussis, bacterial infection, lyme disease, otitis media, acute sinusitis, acute pharyngitis, acute tonsillitis, chronic sinusitis, infection of the pharynx/larynx/tonsils/adenoids, prostatitis, cellulitis/ mastoiditis/bone infections, acute lymphadenitis, impetigo, skin staph infections, pneumonia, gonococcal infections/venereal disease (syphilis, chlamydia, inflammatory diseases [female reproductive organs]), infections of the kidney, cystitis/uti, acne, hiv disease/asymptomatic hiv, cystic fibrosis, disorders of the immune system, malignancy neoplasms, chronic bronchitis, emphysema, bronchiectasis, extrinsic allergic alveolitis, chronic airway obstruction, chronic obstructive asthma, pneumoconiosis and other lung disease due to external agents, other diseases of the respiratory system, and tuberculosis",Doc med rsn presc anbx
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9713,Patients who use hospice services any time during the measurement period,Pt use hosp during msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9714,Patient is using hospice services any time during the measurement period,Pt is w/hosp during msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9715,Patients who use hospice services any time during the measurement period,"HCPCS G9715 terminated on December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9716,"Bmi is documented as being outside of normal parameters, follow-up plan is not completed for documented medical reason",Bmi doc onl fup not cmpltd
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9717,Documentation stating the patient has had a diagnosis of bipolar disorder,Doc pt dx bipol
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9718,Hospice services for patient provided any time during the measurement period,"HCPCS G9718 terminated on December 31, 2022."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9719,"Patient is not ambulatory, bed ridden, immobile, confined to chair, wheelchair bound, dependent on helper pushing wheelchair, independent in wheelchair or minimal help in wheelchair",Pt not ambul/immob/wc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9720,Hospice services for patient occurred any time during the measurement period,Hospice anytime msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9721,"Patient not ambulatory, bed ridden, immobile, confined to chair, wheelchair bound, dependent on helper pushing wheelchair, independent in wheelchair or minimal help in wheelchair",Pt not ambul/immob/wc
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9722,"Documented history of renal failure or baseline serum creatinine >= 4.0 mg/dl; renal transplant recipients are not considered to have preoperative renal failure, unless, since transplantation the cr has been or is 4.0 or higher",Doc hx renal fail or cr+ >=4
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9723,Hospice services for patient received any time during the measurement period,Hosp recd by pt dur msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9724,Patients who had documentation of use of anticoagulant medications overlapping the measurement year,Pt w/doc use anticoag mst yr
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9725,Patients who use hospice services any time during the measurement period,"HCPCS G9725 terminated on December 31, 2023."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9726,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9727,"Patient unable to complete the lepf prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unable cmplt lepf prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9728,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9729,"Patient unable to complete the lepf prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt lepf prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9730,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9731,"Patient unable to complete the lepf prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt lepf prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9732,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9733,"Patient unable to complete the low back fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt lb fs prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9734,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9735,"Patient unable to complete the shoulder fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt shld fs prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9736,Patient refused to participate,Refused to participate
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9737,"Patient unable to complete the elbow/wrist/hand fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available",Pt unbl cmplt ewh fs prom
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9738,Patient refused to participate,"HCPCS G9738 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9739,"Patient unable to complete the general orthopedic fs prom at initial evaluation and/or discharge due to blindness, illiteracy, severe mental incapacity or language incompatibility and an adequate proxy is not available","HCPCS G9739 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9740,Hospice services given to patient any time during the measurement period,Hosp srv to pt dur msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9741,Patients who use hospice services any time during the measurement period,Pt w/hosp anytime msmt per
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9742,Psychiatric symptoms assessed,"HCPCS G9742 terminated on December 31, 2019."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9743,"Psychiatric symptoms not assessed, reason not otherwise specified","HCPCS G9743 terminated on December 31, 2019."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9744,Patient not eligible due to active diagnosis of hypertension,Pt not eli d/t act dig htn
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9745,Documented reason for not screening or recommending a follow-up for high blood pressure,Doc rsn no hbp scrn or f/u
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9746,"Patient has mitral stenosis or prosthetic heart valves or patient has transient or reversible cause of af (e.g., pneumonia, hyperthyroidism, pregnancy, cardiac surgery)","Mit sten, valve or trans af"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9747,Patient is undergoing palliative dialysis with a catheter,"HCPCS G9747 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9748,Patient approved by a qualified transplant program and scheduled to receive a living donor kidney transplant,"HCPCS G9748 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9749,Patient is undergoing palliative dialysis with a catheter,"HCPCS G9749 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9750,Patient approved by a qualified transplant program and scheduled to receive a living donor kidney transplant,"HCPCS G9750 terminated on December 31, 2020."
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9751,Patient died at any time during the 24-month measurement period,Pt died w/in 24 mos rpt time
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9752,Emergency surgery,Urgent surgery
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9753,"Documentation of medical reason for not conducting a search for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, media-free, shared archive (e.g., trauma, acute myocardial infarction, stroke, aortic aneurysm where time is of the essence)","Doc no dicom, ct other fac"
HCPCS 'G' Codes,Procedures / Professional Services (Temporary Codes),G9754,A finding of an incidental pulmonary nodule,Incid pulm nodule
